# Undirected graph (each unordered pair of nodes is saved once): datasets/graph0.txt
# Undirected Erdos-Renyi random graph.
# Nodes: 100 Edges: 500
# NodeId	NodeId
3	24
3	41
3	49
3	55
3	67
3	68
3	71
3	75
3	91
6	58
6	64
6	85
6	86
6	93
6	94
6	96
6	97
7   34
7	44
7	50
7	54
7	81
7	95
8	13
8	20
8	40
8	65
8	68
8	70
8	76
8	77
8	79
8	85
8	94
9	56
9	68
10	22
10	25
10	36
10	57
10	63
10	80
10	86
11	12
11	15
11	19
11	20
11	40
11	53
11	62
11	92
11	93
11	97
12	18
12	53
12	61
12	92
13	23
13	24
13	36
13	45
13	46
13	48
13	53
13	58
13	59
13	62
13	73
13	75
13	87
13	89
14	15
14	16
14	28
14	63
14	66
14	69
14	94
14	97
15	22
15	40
15	49
15	68
15	77
15	88
15	90
16	30
16	31
16	58
16	66
16	73
16	78
16	84
16	92
17	19
17	31
17	32
17	41
17	48
17	49
17	62
17	88
17	89
18	39
18	48
18	49
18	79
18	85
18	87
18	93
19	23
19	27
19	52
19	53
19	61
19	66
19	89
19	97
20	23
20	24
20	25
20	31
20	72
20	74
20	79
21	26
21	45
21	49
21	85
21	86
22	33
22	43
22	46
22	48
22	71
22	80
23	24
23	71
23	76
23	77
23	78
23	79
23	85
24	36
24	59
24	60
24	63
24	87
25	27
25	40
25	62
25	73
25	84
25	90
26	32
26	51
26	58
26	65
26	90
26	93
27	32
27	47
27	62
27	64
27	71
27	82
27	87
27	93
28	30
28	35
28	38
28	59
28	72
28	91
28	92
28	97
29	30
29	38
29	59
29	61
29	63
29	68
29	93
30	45
30	47
30	58
30	64
30	68
30	78
30	83
30	92
31	43
31	57
31	78
31	86
32	39
32	53
32	67
32	88
33	41
33	47
33	49
33	53
33	60
33	79
33	83
33	89
34	44
34	50
34	54
34	81
34  95
35	53
35	64
35	86
35	91
36	39
36	42
36	45
36	78
36	86
37	43
37	53
37	58
37	65
37	79
38	47
38	57
38	75
38	96
39	46
39	52
39	72
39	80
40	46
40	67
40	80
40	84
40	91
40	94
41	55
41	68
41	71
41	77
41	85
41	86
41	91
42	56
42	66
42	75
43	49
43	58
43	71
43	72
43	77
43	80
43	89
43	91
44  50
44  54
44  81
44  95
45	51
45	52
45	67
45	70
45	77
45	83
46	72
46	83
46	96
47	78
47	93
48	72
48	76
48	93
49	65
49	82
49	90
50	54
50	81
50  95
51	52
51	53
51	74
51	84
51	92
51	93
51	94
51	96
52	60
52	65
52	86
53	67
53	79
53	90
53	96
54	81
54  95
55	80
55  83
56	58
56	65
56	78
56	93
56	94
56	97
57	75
57	78
57	92
57	96
58	62
58	69
58	80
58	96
59	67
59	75
59	94
60	61
60	88
61	89
61	90
61	92
61	97
62	72
62	74
62	96
63	65
63	71
63	76
63	78
64	69
64	84
64	86
64	90
65	72
65	73
65	87
66	70
66	73
66	75
66	78
66	85
66	96
67	68
67	78
67	94
68	85
69	82
69	86
69	92
70	72
70	79
71	88
71	91
71	96
72	74
72	91
72	94
73	85
74	94
75	76
75	87
76	77
77	78
77	87
77	89
77	91
78	90
78	94
79	80
80	85
80	86
80	94
81	95
83	88
84	88
84	91
84	94
86	89
88	89
89	93
93	96
93	97
