# Undirected graph (each unordered pair of nodes is saved once): datasets/increasing/graph1.txt
# Undirected Erdos-Renyi random graph.
# Nodes: 200 Edges: 1000
# NodeId	NodeId
0	85
0	98
0	154
0	181
0	196
1	51
1	62
1	85
1	117
1	123
1	126
1	141
1	163
1	180
1	184
1	199
2	48
2	62
2	81
2	88
2	158
2	160
2	170
2	175
2	187
3	9
3	21
3	25
3	34
3	47
3	91
3	183
4	8
4	26
4	30
4	66
4	86
4	101
4	121
4	131
4	143
5	21
5	27
5	53
5	110
5	177
5	183
6	75
6	88
6	98
6	109
6	118
6	121
6	136
6	141
6	162
6	185
6	196
7	53
7	60
7	69
7	87
7	110
7	120
7	121
7	122
7	123
7	130
7	137
7	142
7	169
8	16
8	43
8	47
8	61
8	63
8	123
8	130
8	168
8	181
9	17
9	41
9	56
9	65
9	97
9	110
9	147
9	149
9	165
9	166
9	175
10	49
10	115
10	123
10	185
11	52
11	75
11	143
11	147
11	159
11	186
11	187
12	23
12	36
12	49
12	59
12	97
12	123
12	135
12	189
12	198
13	17
13	38
13	50
13	52
13	64
13	98
13	110
13	115
13	138
13	146
13	171
13	175
13	180
14	16
14	20
14	31
14	36
14	44
14	75
14	83
14	102
14	109
14	119
14	124
14	132
14	173
14	183
14	190
14	198
15	55
15	56
15	93
15	173
16	26
16	55
16	63
16	70
16	84
16	89
16	136
16	161
16	173
16	176
16	187
17	30
17	38
17	66
17	106
17	126
17	160
17	165
17	180
18	65
18	177
18	196
19	40
19	42
19	49
19	51
19	68
19	78
19	97
19	115
19	134
19	150
19	155
19	167
19	168
19	173
19	176
20	22
20	38
20	104
20	128
21	47
21	111
21	139
21	162
21	188
22	54
22	102
22	134
22	139
22	165
22	169
22	171
22	182
23	41
23	50
23	68
23	70
23	72
23	76
23	81
23	105
23	118
23	125
23	130
23	145
23	171
23	173
23	197
24	29
24	30
24	55
24	59
24	74
24	75
24	100
24	117
24	129
24	179
24	181
24	187
24	189
25	27
25	62
25	73
25	97
25	152
25	154
25	173
25	193
25	195
26	48
26	49
26	59
26	67
26	82
26	83
26	99
26	104
26	111
26	129
26	150
26	184
27	34
27	44
27	48
27	75
27	80
27	149
27	150
27	160
27	162
27	169
27	170
27	173
27	192
28	37
28	48
28	73
28	90
28	130
28	139
28	155
28	166
28	171
28	188
29	92
29	147
29	153
29	179
30	35
30	36
30	61
30	99
30	103
30	113
30	134
31	80
31	94
31	188
31	191
32	56
32	62
32	84
32	90
32	101
32	131
32	157
32	170
32	182
33	42
33	52
33	73
33	84
33	98
33	114
33	121
33	123
34	49
34	117
34	150
34	178
34	185
34	191
34	196
35	67
35	89
35	111
35	113
35	114
35	127
35	136
35	158
35	162
35	196
36	37
36	44
36	69
36	80
36	171
36	174
37	73
37	114
37	116
37	185
37	186
38	40
38	73
38	111
38	117
38	158
38	173
38	176
38	182
38	186
38	197
39	48
39	66
39	82
39	105
39	106
39	110
39	140
39	156
39	177
40	70
40	132
40	145
40	190
41	56
41	65
41	71
41	78
41	98
41	103
41	165
41	175
42	60
42	73
42	93
42	96
42	104
42	109
42	117
42	118
42	144
42	156
42	168
42	169
42	180
42	193
43	53
43	66
43	89
43	111
43	112
43	127
43	169
43	181
43	184
43	197
44	73
44	99
44	104
44	129
44	134
44	138
44	142
44	186
44	198
45	103
45	111
45	134
45	137
45	153
45	154
45	159
45	166
45	169
45	184
46	63
46	65
46	94
46	105
46	111
46	127
46	130
46	137
46	140
46	143
46	149
47	53
47	60
47	83
47	92
47	105
47	110
47	117
47	156
47	160
47	179
47	184
47	195
48	53
48	64
48	69
48	88
48	106
48	109
48	130
48	142
48	197
49	116
49	118
49	141
49	170
50	99
50	109
50	110
50	143
50	157
50	158
51	55
51	89
51	127
51	128
51	133
51	137
51	171
51	198
52	62
52	65
52	67
52	73
52	81
52	106
52	135
52	139
52	148
52	152
52	158
52	160
52	182
52	188
52	192
53	64
53	83
53	97
53	115
53	161
53	170
53	185
54	73
54	89
54	91
54	92
54	97
54	140
54	162
54	165
54	173
54	199
55	68
55	71
55	100
55	110
55	122
55	134
55	149
55	156
55	159
56	83
56	114
56	128
56	158
56	183
56	197
57	115
57	137
57	142
57	149
57	158
57	160
57	163
57	167
57	174
57	175
57	189
58	72
58	102
58	111
58	129
58	142
58	148
58	155
58	172
59	75
59	81
59	115
59	161
59	184
60	62
60	65
60	73
60	76
60	92
60	140
60	150
60	175
60	178
61	74
61	83
